column1,id,actual_price,average_rating,brand,category,discount,out_of_stock,seller,selling_price,sub_category
25802,80673c9d-8021-57d1-93ca-ae9757e2b39e,1499,4.099999905,Mah,Clothing and Accessories,66,FALSE,Mahir Apparels,495, Kurtas Ethnic Sets and Bottoms
7306,806c347d-9b5c-5d79-80ac-1e9aba70a470,1299,4,Dudli,Clothing and Accessories,38,FALSE,DudlindFashion,799,Topwear
4511,806d28c0-1c0a-5822-bb27-0531fd99e803,2599,3.400000095,VOXA,Clothing and Accessories,76,FALSE,LAFANTAR E-TAIL,598,Bottomwear
4531,806daa62-cff6-5b30-b57b-f7553edb86ce,1299,3.400000095,FOREVER YOU,Clothing and Accessories,69,FALSE,SH APPAREL ONLINE,402,Topwear
617,806dff19-a0a3-5211-b0d6-67aaa1b27cda,1299,2.599999905,Fairdea,Clothing and Accessories,78,FALSE,InstaHeaven,284,Topwear
2171,80723be7-28f7-5e7d-aaf1-2a677caff374,1499,4,REEB,Clothing and Accessories,35,FALSE,Tayab Manch Fashions,974,Topwear
6779,8073ccf7-fff0-5dee-b693-5d914da94be3,1895,3.799999952,HUMBE,Clothing and Accessories,47,FALSE,HUMBERT,995,Bottomwear
25954,80751444-3a2d-5a7f-8db7-ba1bd1bc8d7c,2997,3,Uber Urb,Clothing and Accessories,21,FALSE,UberUrban,2349,Bottomwear
24072,8076e0c3-2663-5fe5-841d-3990824ea9fc,2499,4.099999905,Purple Sta,Clothing and Accessories,82,FALSE,Purplestate,449,Topwear
9081,807ab291-b053-59c3-b44a-bf489c221cab,1799,3.200000048,MASH UNLIMIT,Clothing and Accessories,63,FALSE,HIGHSTREET TRENDZ LLP,649,Winter Wear
15130,80800ba8-8fd1-5444-af8b-c16e61154372,2199,2.200000048,Lev,Clothing and Accessories,57,FALSE,KONDEFASHIONS,935,Topwear
643,8080a08f-3e98-5bad-b65c-926ab3886349,1299,2.599999905,Fairdea,Clothing and Accessories,78,FALSE,InstaHeaven,284,Topwear
17932,8085ac1d-ff05-562e-a659-aaaa09d7013f,915,3.599999905,Black Beat,Footwear,65,FALSE,Black Beatle,320,Men's Footwear
22875,80866cd3-8a30-5fd1-92d1-f334f9ace124,939,4,ARBO,Clothing and Accessories,51,FALSE,ARBOR,455,Topwear
6891,80894312-050f-56c7-97fd-53e82e3f2a63,1699,3.799999952,HUMBE,Clothing and Accessories,50,FALSE,HUMBERT,845,Topwear
24313,808c3fe5-ea3c-559f-b366-bdc7efa5c266,2499,2.799999952,A,Clothing and Accessories,64,FALSE,ARYACITION,899,Topwear
20892,808e7d7e-0198-5973-9258-82ee48052ca9,899,3.700000048,dunam,Clothing and Accessories,66,FALSE,Dunamis,299,Bottomwear
11056,809409f0-0300-5e0d-9381-24e775ebde5d,1999,3.400000095,True Bl,Clothing and Accessories,60,FALSE,ArvindTrueBlue,799,Topwear
1084,80987bf7-151c-54f7-8779-90b049b25ce9,3999,3.799999952,Solid Styl,Clothing and Accessories,63,FALSE,SKDLifestyles,1443,Winter Wear
16675,809acbf1-8474-53d1-83e6-dacf33fbcbbb,675,3.400000095,Urban D,Clothing and Accessories,60,FALSE,VRS FASHIONS PVT LTD,269,Innerwear and Swimwear
20134,809fc933-d787-5ecc-96a9-b57401445727,1299,4.5,PixF,Clothing and Accessories,76,FALSE,PixFab,299,Topwear
23106,80a709d0-e18a-5f14-9a2a-9b163a584678,499,4.300000191,ARBO,Clothing and Accessories,33,FALSE,ARBOR,331,Topwear
4703,80ab4713-ef40-5851-bdeb-fbdc57c76d9d,1899,4.099999905,U.S.Polo As,Clothing and Accessories,42,FALSE,RetailNet,1084,Bottomwear
6908,80ac1ec3-80fa-545d-bff0-c8e3b840f2c2,1699,2.400000095,HaltonHil,Clothing and Accessories,62,FALSE,OYASA INTERNATIONAL,629,Topwear
18069,80aed0a9-5afa-51ef-89ad-d4a1c5a723b7,849,3.599999905,Black Beat,Footwear,63,FALSE,Black Beatle,308,Men's Footwear
11016,80afe736-c47c-5155-83ae-db76afe513d3,1999,3.400000095,True Bl,Clothing and Accessories,60,FALSE,ArvindTrueBlue,799,Topwear
13181,80b07847-af92-58d1-9187-389410468e80,1899,3.400000095,Amp,Clothing and Accessories,61,FALSE,AFFGARMENTS,725,Topwear
24003,80b2a464-c4d1-5941-b6d3-16c5785173b8,1899,3.799999952,Purple Sta,Clothing and Accessories,76,FALSE,Purplestate,449,Topwear
27934,80b3c3ea-d1d4-5204-895e-7685764ef47c,3499,4.300000191,Pu,Clothing and Accessories,30,FALSE,RetailNet,2449,Bottomwear
